Place,Rainfall (mm),Main
Central & Western District,0,FALSE
Eastern District,0,FALSE
Kwai Tsing,0,FALSE
Islands District,0,FALSE
North District,0,FALSE
Sai Kung,0,FALSE
Sha Tin,0,FALSE
Southern District,0,FALSE
Tai Po,0,FALSE
Tsuen Wan,0,FALSE
Tuen Mun,0,FALSE
Wan Chai,0,FALSE
Yuen Long,0,FALSE
Yau Tsim Mong,0,FALSE
Sham Shui Po,0,FALSE
Kowloon City,0,FALSE
Wong Tai Sin,0,FALSE
Kwun Tong,0,FALSE

Place,Temperature (Â°C)
King's Park,24
Hong Kong Observatory,24
Wong Chuk Hang,24
Ta Kwu Ling,23
Lau Fau Shan,23
Tai Po,23
Tuen Mun,23
Tseung Kwan O,23
Sai Kung,24
Cheung Chau,23
Chek Lap Kok,24
Tsing Yi,23
Shek Kong,23
Tsuen Wan Ho Koon,22
Tsuen Wan Shing Mun Valley,23
Hong Kong Park,23
Shau Kei Wan,23
Kowloon City,23
Happy Valley,25
Wong Tai Sin,24
Stanley,23
Kwun Tong,23
Sham Shui Po,24
Kai Tak Runway Park,24
Yuen Long Park,24
Tai Mei Tuk,23
