id,Place,coordinate
1,Central & Western District,"22.28499386, 114.15072273"
2,Eastern District,"22.267434, 114.249063"
3,Kwai Tsing,"22.344044, 114.100998"
4,Islands District,"22.308046, 113.918480"
5,North District,"22.50166, 114.12895"
6,Sai Kung,"22.38333, 114.26667"
7,Sha Tin,"22.3771, 114.1974"
8,Southern District,"22.23833238, 114.15333272"
9,Tai Po,"22.45007, 114.16877"
10,Tsuen Wan,"22.37137, 114.11329"
11,Tuen Mun,"22.400723, 113.97157"
12,Wan Chai,"22.28066, 114.18096"
13,Yuen Long,"22.4400132399, 114.022146578"
14,Yau Tsim Mong,"22.302219, 114.174637"
15,Sham Shui Po,"22.33183, 114.1621"
16,Kowloon City,"22.3260336959, 114.186529254"
17,Wong Tai Sin,"22.35, 114.18333"
18,Kwun Tong,"22.3038021181, 114.219602455"